MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Evaluation,Fold,Threshold,ClassWeight,HeldOutDrug
0.39686831106550413,0.37209302325581395,0.23529411764705882,0.8125,0.8888888888888888,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.05,none,
0.5278999909964537,0.5384615384615384,0.4117647058823529,0.9166666666666666,0.7777777777777778,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.1,none,
0.5259259259259259,0.5555555555555556,0.5555555555555556,0.9444444444444444,0.5555555555555556,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.15,none,
0.3418447572008692,0.375,0.42857142857142855,0.9305555555555556,0.3333333333333333,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.2,none,
0.1077344635123662,0.14285714285714285,0.2,0.9166666666666666,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.25,none,
0.13093073414159542,0.15384615384615385,0.25,0.9236111111111112,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.3,none,
0.13093073414159542,0.15384615384615385,0.25,0.9236111111111112,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.35,none,
0.13093073414159542,0.15384615384615385,0.25,0.9236111111111112,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.4,none,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.45,none,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.5,none,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.55,none,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.6,none,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.65,none,
0.16320277505018704,0.16666666666666666,0.3333333333333333,0.9305555555555556,0.1111111111111111,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.7,none,
0.0,0.0,0.0,0.9375,0.0,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.75,none,
0.0,0.0,0.0,0.9375,0.0,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.8,none,
0.0,0.0,0.0,0.9375,0.0,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.85,none,
0.0,0.0,0.0,0.9375,0.0,0.9378600823045268,0.43533707301823243,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,1,0.9,none,
0.17086728939706017,0.2127659574468085,0.13157894736842105,0.7430555555555556,0.5555555555555556,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.05,none,
0.18461861664914883,0.23529411764705882,0.16,0.8194444444444444,0.4444444444444444,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.1,none,
0.22812937284069357,0.27586206896551724,0.2,0.8541666666666666,0.4444444444444444,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.15,none,
0.18257418583505536,0.24,0.1875,0.8680555555555556,0.3333333333333333,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.2,none,
0.24976635242618936,0.3,0.2727272727272727,0.9027777777777778,0.3333333333333333,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.25,none,
0.26803133402626733,0.3157894736842105,0.3,0.9097222222222222,0.3333333333333333,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.3,none,
0.18786728732554484,0.23529411764705882,0.25,0.9097222222222222,0.2222222222222222,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.35,none,
0.26443913771217153,0.2857142857142857,0.4,0.9305555555555556,0.2222222222222222,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.4,none,
0.36406772895810957,0.3333333333333333,0.6666666666666666,0.9444444444444444,0.2222222222222222,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.45,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.5,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.55,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.6,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.65,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.7,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.75,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.8,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.85,none,
0.0,0.0,0.0,0.9375,0.0,0.7374485596707818,0.3069307270233196,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,2,0.9,none,
0.38876758598277983,0.36363636363636365,0.22857142857142856,0.8055555555555556,0.8888888888888888,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.05,none,
0.3361433584600503,0.37037037037037035,0.2777777777777778,0.8819444444444444,0.5555555555555556,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.1,none,
0.33734954246999327,0.38095238095238093,0.3333333333333333,0.9097222222222222,0.4444444444444444,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.15,none,
0.3808866325636431,0.42105263157894735,0.4,0.9236111111111112,0.4444444444444444,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.2,none,
0.3418447572008692,0.375,0.42857142857142855,0.9305555555555556,0.3333333333333333,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.25,none,
0.3768673314407158,0.4,0.5,0.9375,0.3333333333333333,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.3,none,
0.3768673314407158,0.4,0.5,0.9375,0.3333333333333333,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.35,none,
0.26443913771217153,0.2857142857142857,0.4,0.9305555555555556,0.2222222222222222,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.4,none,
0.30550504633038933,0.3076923076923077,0.5,0.9375,0.2222222222222222,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.45,none,
0.30550504633038933,0.3076923076923077,0.5,0.9375,0.2222222222222222,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.5,none,
0.30550504633038933,0.3076923076923077,0.5,0.9375,0.2222222222222222,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.55,none,
0.30550504633038933,0.3076923076923077,0.5,0.9375,0.2222222222222222,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.6,none,
0.21449799456256347,0.18181818181818182,0.5,0.9375,0.1111111111111111,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.65,none,
0.32387513781564786,0.2,1.0,0.9444444444444444,0.1111111111111111,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.7,none,
0.32387513781564786,0.2,1.0,0.9444444444444444,0.1111111111111111,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.75,none,
0.0,0.0,0.0,0.9375,0.0,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.8,none,
0.0,0.0,0.0,0.9375,0.0,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.85,none,
0.0,0.0,0.0,0.9375,0.0,0.9148148148148147,0.44717635592248595,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,3,0.9,none,
0.3540244812627134,0.3050847457627119,0.18,0.7152777777777778,1.0,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.05,none,
0.4231613910210733,0.4,0.25806451612903225,0.8333333333333334,0.8888888888888888,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.1,none,
0.47699777957599565,0.4827586206896552,0.35,0.8958333333333334,0.7777777777777778,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.15,none,
0.41920055522398564,0.45454545454545453,0.38461538461538464,0.9166666666666666,0.5555555555555556,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.2,none,
0.4383570037596046,0.47058823529411764,0.5,0.9375,0.4444444444444444,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.25,none,
0.4211438119119769,0.42857142857142855,0.6,0.9444444444444444,0.3333333333333333,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.3,none,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.35,none,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.4,none,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.45,none,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.5,none,
0.48007935851918326,0.46153846153846156,0.75,0.9513888888888888,0.3333333333333333,0.9382716049382716,0.5172620153598415,C1,C1_morgan_only,B4,B4_threshold_tuning_only,CV,4,0.55,none,
